Date,Close,Volume,Daily Log Return,20-Day Rolling Volatility,50-Day Moving Average,200-Day Moving Average,Distance from 50-Day MA,Distance from 200-Day MA,Max Drawdown,Volume Change,ATR,RSI,MACD,MACD Signal,Close_VIX,Volume_scaled,Daily Log Return_scaled,20-Day Rolling Volatility_scaled,50-Day Moving Average_scaled,200-Day Moving Average_scaled,Distance from 50-Day MA_scaled,Distance from 200-Day MA_scaled,Max Drawdown_scaled,Volume Change_scaled,ATR_scaled,RSI_scaled,MACD_scaled,MACD Signal_scaled,State
2010-02-10 13:00:00+00:00,33.387630462646484,16394,0.0111158192448067,0.1699185614634131,34.81592185974121,32.50610119819641,-1.4282913970947249,0.881529264450073,-0.0721162918606214,0.7719412019022913,0.756943298993819,38.323070602602584,-0.5790846534241538,-0.4668709571315029,23.34000015258789,-0.5545584854052825,1.1172958716187975,0.460922283340513,-0.9871431652041056,-1.165655435003699,-0.9765801449553594,-0.1739761735628285,-1.9231852251778705,0.0981559633757427,0.7645688158707872,-1.4140283215957377,-1.3132630460688026,-1.1640017665726112,1
2010-02-11 13:00:00+00:00,33.4273796081543,9530,0.0011898269611891,0.1659068788749039,34.78946166992188,32.53128387451172,-1.3620820617675804,0.896095733642575,-0.0707181286906924,-0.4186897645480053,0.7381616409466493,38.98062067775719,-0.5535242825484872,-0.4842016222148997,22.25,-0.6131546691986847,0.0928381028076925,0.4034797112470973,-0.9892087495938678,-1.163540450961822,-0.9402397731868932,-0.1693293462509544,-1.8721677857118677,-0.3223498147051215,0.6963412146747202,-1.3529859910576565,-1.2638152714229112,-1.1996480733600332,1
2010-02-14 13:00:00+00:00,33.387630462646484,14209,-0.001189826961189,0.1657438003033169,34.76107078552246,32.55626780509949,-1.3734403228759788,0.8313626575469968,-0.0718231557898382,0.4909758656873033,0.700036838970262,38.53815288256682,-0.5303612539251716,-0.4934335485569541,22.36000061035156,-0.5732112624432463,-0.1527650447875088,0.4011446180789313,-0.9914250514430756,-1.1614421587138153,-0.9464739912058936,-0.1899797469765738,-1.9124890116971212,-0.0010750751643313,0.5578463183034192,-1.394061593398841,-1.2190052714016508,-1.218636616329629,1
2010-02-15 13:00:00+00:00,33.59773635864258,10228,0.006273208463081,0.1656964945297579,34.725525817871095,32.58196838378906,-1.1277894592285165,1.015767974853517,-0.0590009802690798,-0.2801745372651136,0.6808596634570184,42.26843253686934,-0.4894089947371256,-0.4926286377929885,22.020000457763672,-0.607196024634612,0.6174919129903721,0.4004672550901739,-0.9941998286013868,-1.1592836782920024,-0.8116434017416663,-0.131152885532633,-1.4446219003885263,-0.2734291540924599,0.4881819319271729,-1.0477686306858858,-1.1397811438089471,-1.2169810482431909,1
2010-02-16 13:00:00+00:00,34.33021545410156,9753,0.0215671890002212,0.186969577653796,34.70576568603516,32.612199535369875,-0.3755502319335946,1.7180159187316877,-0.0384858448610662,-0.0464411419632381,0.6845467657428731,52.98215077878257,-0.3933152000690043,-0.4727659502481917,20.11000061035156,-0.6112509761646041,2.195977643145373,0.7050727626400373,-0.9957423806442348,-1.1567446946525983,-0.3987612448124497,0.09287016921012,-0.6960471264811823,-0.1908794421964857,0.5015759647488017,-0.0531822791278368,-0.9538830468395736,-1.176126790750047,1
2010-02-17 13:00:00+00:00,34.21097946166992,16906,-0.0034792539832291,0.1868931364427958,34.6925927734375,32.63908288002014,-0.4816133117675747,1.5718965816497814,-0.0344546956544769,0.733415359376602,0.6697195995685704,51.31279329686305,-0.3230575176019812,-0.4428242637189496,19.739999771118164,-0.5501876744929541,-0.3890559094022293,0.7039782144855133,-0.996770708967471,-1.154486878834467,-0.4569761737651517,0.046256860427327,-0.5489549164667858,0.0845494472981499,0.4477137350102199,-0.2081537026708896,-0.8179661594567196,-1.1145417022021935,1
2010-02-18 13:00:00+00:00,33.97816848754883,12441,-0.0068284143660196,0.186589036386831,34.679873580932615,32.66528764724731,-0.7017050933837865,1.312880840301517,-0.0236578872485422,-0.2641074174849166,0.6466231072855751,48.12444155458769,-0.28290257323318,-0.4108399256217957,20.559999465942383,-0.5883042188748803,-0.7347214383596621,0.6996238596722967,-0.9977636181517152,-1.152286053798533,-0.5777781290724738,-0.036371359575498,-0.1549912281629588,-0.2677545858214589,0.3638117567847293,-0.5041378843742823,-0.7402844759739088,-1.0487552177991202,1
2010-02-21 13:00:00+00:00,34.67656326293945,36933,0.0203458333984424,0.1928425841595622,34.682030792236326,32.69492761611939,-0.0054675292968724,1.9816356468200669,0.0,1.968652037617555,0.6547825249492102,56.796824668141056,-0.19250578205002,-0.3671730969074406,19.700000762939453,-0.3792223812484223,2.0699220107237823,0.7891673020681782,-0.9975952179238716,-1.1497967210373423,-0.1956336506077181,0.1769671000614521,0.7082591109639857,0.5208090232155529,0.3934522439530349,0.3009452516073083,-0.5654075079956408,-0.95893978571412,1
2010-02-22 13:00:00+00:00,34.66523361206055,13099,-0.000326776965418,0.1921967314720153,34.68986694335938,32.72544783592224,-0.0246333312988298,1.939785776138308,-0.0003267235796407,-0.6453307340318957,0.617746265407601,56.63142547275838,-0.1203920769817585,-0.3178168929223042,19.469999313354492,-0.5826870439133333,-0.063689993369294,0.7799194518837194,-0.996983497768192,-1.1472334598084966,-0.2061531999514856,0.1636166360943504,0.6963373261502122,-0.4023946311959608,0.2589116650833364,0.2855907520235189,-0.4259000550544802,-0.8574222512946093,1
2010-02-23 13:00:00+00:00,34.23936080932617,7989,-0.0123613883578111,0.1863145840175676,34.69327392578125,32.75514464378357,-0.4539131164550767,1.4842161655426054,-0.0126080099200759,-0.3901061149706084,0.6040410180737992,50.65945180733858,-0.0964935051152693,-0.2735522153608972,20.43000030517578,-0.6263097856359855,-1.3057775130128502,0.6956940248312304,-0.996717535590488,-1.1447393533864876,-0.4417723450189266,0.0182860634621273,0.2482066673590705,-0.3122546717560271,0.2091249983771451,-0.2688053376789431,-0.379667111027138,-0.7663771431809071,1
