Date,Close,Volume,Daily Log Return,20-Day Rolling Volatility,50-Day Moving Average,200-Day Moving Average,Distance from 50-Day MA,Distance from 200-Day MA,Max Drawdown,Volume Change,ATR,RSI,MACD,MACD Signal,Close_VIX,Volume_scaled,Daily Log Return_scaled,20-Day Rolling Volatility_scaled,50-Day Moving Average_scaled,200-Day Moving Average_scaled,Distance from 50-Day MA_scaled,Distance from 200-Day MA_scaled,Max Drawdown_scaled,Volume Change_scaled,ATR_scaled,RSI_scaled,MACD_scaled,MACD Signal_scaled
2010-02-10 13:00:00+00:00,33.387630462646484,16394,0.011115819244806781,0.16991856146341314,34.81592185974121,32.50610119819641,-1.4282913970947249,0.881529264450073,-0.07211629186062142,0.7719412019022913,0.756943298993819,38.323070602602584,-0.5790846534241538,-0.4668709571315029,23.34000015258789,-0.5545584854052825,1.1172958716187975,0.46092228334051305,-0.9871431652041057,-1.165655435003699,-0.9765801449553594,-0.1739761735628285,-1.9231852251778703,0.09815596337574278,0.7645688158707872,-1.4140283215957377,-1.3132630460688026,-1.1640017665726112
2010-02-11 13:00:00+00:00,33.4273796081543,9530,0.001189826961189135,0.16590687887490396,34.78946166992188,32.53128387451172,-1.3620820617675804,0.896095733642575,-0.07071812869069241,-0.4186897645480053,0.7381616409466493,38.98062067775719,-0.5535242825484872,-0.48420162221489976,22.25,-0.6131546691986847,0.09283810280769252,0.4034797112470973,-0.9892087495938678,-1.1635404509618221,-0.9402397731868932,-0.1693293462509544,-1.8721677857118675,-0.3223498147051215,0.6963412146747202,-1.3529859910576565,-1.2638152714229112,-1.1996480733600332
2010-02-14 13:00:00+00:00,33.387630462646484,14209,-0.0011898269611890742,0.16574380030331695,34.76107078552246,32.55626780509949,-1.3734403228759788,0.8313626575469968,-0.07182315578983826,0.49097586568730334,0.700036838970262,38.53815288256682,-0.5303612539251716,-0.49343354855695415,22.36000061035156,-0.5732112624432463,-0.15276504478750882,0.4011446180789313,-0.9914250514430755,-1.1614421587138153,-0.9464739912058935,-0.1899797469765738,-1.9124890116971212,-0.0010750751643313911,0.5578463183034192,-1.394061593398841,-1.2190052714016508,-1.218636616329629
2010-02-15 13:00:00+00:00,33.59773635864258,10228,0.006273208463081089,0.16569649452975793,34.725525817871095,32.58196838378906,-1.1277894592285165,1.0157679748535173,-0.05900098026907986,-0.28017453726511365,0.6808596634570184,42.26843253686934,-0.4894089947371256,-0.4926286377929885,22.020000457763672,-0.607196024634612,0.6174919129903721,0.4004672550901739,-0.9941998286013868,-1.1592836782920024,-0.8116434017416663,-0.13115288553263305,-1.4446219003885263,-0.27342915409245994,0.4881819319271729,-1.0477686306858858,-1.1397811438089471,-1.2169810482431909
2010-02-16 13:00:00+00:00,34.33021545410156,9753,0.021567189000221282,0.18696957765379607,34.70576568603516,32.612199535369875,-0.3755502319335946,1.7180159187316875,-0.038485844861066223,-0.04644114196323812,0.6845467657428731,52.98215077878257,-0.39331520006900433,-0.4727659502481917,20.11000061035156,-0.6112509761646041,2.195977643145373,0.7050727626400373,-0.9957423806442347,-1.1567446946525983,-0.3987612448124497,0.09287016921012002,-0.6960471264811823,-0.19087944219648573,0.5015759647488017,-0.05318227912783683,-0.9538830468395736,-1.176126790750047
2010-02-17 13:00:00+00:00,34.21097946166992,16906,-0.003479253983229179,0.18689313644279584,34.6925927734375,32.63908288002014,-0.4816133117675747,1.5718965816497814,-0.034454695654476966,0.733415359376602,0.6697195995685704,51.31279329686305,-0.3230575176019812,-0.4428242637189496,19.739999771118164,-0.5501876744929541,-0.38905590940222934,0.7039782144855133,-0.996770708967471,-1.154486878834467,-0.45697617376515176,0.04625686042732703,-0.5489549164667858,0.08454944729814995,0.4477137350102199,-0.20815370267088967,-0.8179661594567196,-1.1145417022021937
2010-02-18 13:00:00+00:00,33.97816848754883,12441,-0.0068284143660196665,0.186589036386831,34.679873580932615,32.66528764724731,-0.7017050933837865,1.312880840301517,-0.023657887248542255,-0.2641074174849166,0.6466231072855751,48.12444155458769,-0.28290257323318,-0.4108399256217957,20.559999465942383,-0.5883042188748803,-0.7347214383596621,0.6996238596722967,-0.9977636181517153,-1.152286053798533,-0.5777781290724738,-0.03637135957549804,-0.1549912281629588,-0.2677545858214589,0.3638117567847293,-0.5041378843742823,-0.7402844759739088,-1.0487552177991202
2010-02-21 13:00:00+00:00,34.67656326293945,36933,0.020345833398442485,0.1928425841595622,34.682030792236326,32.69492761611939,-0.005467529296872442,1.9816356468200667,0.0,1.968652037617555,0.6547825249492102,56.796824668141056,-0.19250578205002,-0.3671730969074406,19.700000762939453,-0.37922238124842234,2.0699220107237823,0.7891673020681782,-0.9975952179238716,-1.1497967210373423,-0.19563365060771812,0.17696710006145216,0.7082591109639857,0.5208090232155529,0.3934522439530349,0.3009452516073083,-0.5654075079956408,-0.95893978571412
2010-02-22 13:00:00+00:00,34.66523361206055,13099,-0.0003267769654180223,0.19219673147201538,34.68986694335938,32.72544783592224,-0.02463333129882983,1.939785776138308,-0.0003267235796407427,-0.6453307340318957,0.617746265407601,56.63142547275838,-0.12039207698175858,-0.3178168929223042,19.469999313354492,-0.5826870439133333,-0.063689993369294,0.7799194518837194,-0.9969834977681921,-1.1472334598084966,-0.20615319995148562,0.16361663609435045,0.6963373261502122,-0.4023946311959608,0.2589116650833364,0.28559075202351897,-0.4259000550544802,-0.8574222512946093
2010-02-23 13:00:00+00:00,34.23936080932617,7989,-0.012361388357811101,0.1863145840175676,34.69327392578125,32.75514464378357,-0.4539131164550767,1.4842161655426054,-0.012608009920075932,-0.39010611497060843,0.6040410180737992,50.65945180733858,-0.09649350511526933,-0.27355221536089724,20.43000030517578,-0.6263097856359855,-1.3057775130128502,0.6956940248312304,-0.996717535590488,-1.1447393533864876,-0.4417723450189266,0.01828606346212731,0.24820666735907052,-0.3122546717560271,0.2091249983771451,-0.26880533767894316,-0.379667111027138,-0.7663771431809071
