Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2009-05-01 00:00:00+10:00,28.390844345092773,28.390844345092773,28.390844345092773,28.390844345092773,0,0.0,0.0,0.0
2009-05-04 00:00:00+10:00,28.390844345092773,28.390844345092773,28.390844345092773,28.390844345092773,0,0.0,0.0,0.0
2009-05-05 00:00:00+10:00,28.45762062072754,28.45762062072754,28.45762062072754,28.45762062072754,0,0.0,0.0,0.0
2009-05-06 00:00:00+10:00,28.283985137939453,28.283985137939453,28.283985137939453,28.283985137939453,0,0.0,0.0,0.0
2009-05-07 00:00:00+10:00,28.834310531616214,28.834310531616214,28.834310531616214,28.83431053161621,0,0.0,0.0,0.0
2009-05-08 00:00:00+10:00,28.742892258326368,28.845099478541744,28.720181227428256,28.737215042114258,915,0.0,0.0,0.0
2009-05-11 00:00:00+10:00,28.845097319253096,28.845097319253096,28.73153350906499,28.74856948852539,826,0.0,0.0,0.0
2009-05-12 00:00:00+10:00,28.71450047449411,28.71450047449411,28.385167798670395,28.561189651489258,7032,0.0,0.0,0.0
2009-05-13 00:00:00+10:00,28.60662093550856,28.60662093550856,28.282965420274525,28.299999237060547,4531,0.0,0.0,0.0
2009-05-14 00:00:00+10:00,27.737861002407655,27.737861002407655,27.414205469136252,27.567516326904297,1511,0.0,0.0,0.0
2009-05-15 00:00:00+10:00,27.823036006946126,27.823036006946126,27.73218536376953,27.73218536376953,7527,0.0,0.0,0.0
2009-05-18 00:00:00+10:00,27.664058583349863,27.664058583349863,27.39718376853044,27.522104263305664,1188,0.0,0.0,0.0
2009-05-19 00:00:00+10:00,27.811675166701004,28.163721084594727,27.811675166701004,28.163721084594727,6700,0.0,0.0,0.0
2009-05-20 00:00:00+10:00,27.953630668804237,28.004734285480477,27.953630668804237,27.993377685546875,1035,0.0,0.0,0.0
2009-05-21 00:00:00+10:00,27.93658328734259,27.953617095947266,27.93658328734259,27.953617095947266,1100,0.0,0.0,0.0
2009-05-22 00:00:00+10:00,27.66404604695212,27.783287101901042,27.66404604695212,27.681079864501953,2845,0.0,0.0,0.0
2009-05-25 00:00:00+10:00,27.82302813926936,27.868454531037273,27.5107292770385,27.641326904296875,3060,0.0,0.0,0.0
2009-05-26 00:00:00+10:00,27.681075107113404,27.681075107113404,27.505051080500543,27.62429428100586,1135,0.0,0.0,0.0
